gene_symbol	uniprot	chr6_start	mhc_subregion	mhc_class	gene_class	pfam_families	n_domain_instances	mouse	chicken	zebrafish	ciona	fly	worm	yeast	arabidopsis	ecoli
VWA7	Q9Y334	31765590	class III		3 locus furniture	PF23560;PF23610;PF23619;PF25106;PF25107	5	covered_not_delimited	called_not_covered	delimited	delimited	called_not_covered	delimited	called_not_covered	called_not_covered	called_not_covered
VARS1	P26640	31777518	class III		3 locus furniture	PF00043;PF00133;PF08264	3	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited
LSM2	Q9Y333	31797019	class III		3 locus furniture	PF01423	1	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
HSPA1L	P34931	31809619	class III		3 locus furniture	PF00012	1	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited
HSPA1A	P0DMV8	31815543	class III		3 locus furniture	PF00012	1	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited
HSPA1B	P0DMV9	31827738	class III		3 locus furniture	PF00012	1	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited
NEU1	Q99519	31857063	class III		3 locus furniture	PF13088	1	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
SLC44A4	Q53GD3	31863173	class III		3 locus furniture	PF04515	1	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
EHMT2	Q96KQ7	31879758	class III		3 locus furniture	PF00023;PF00856;PF05033;PF21533	8	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	covered_not_delimited
C2	P06681	31897785	class III		2 immune-associated, conserved	PF00084;PF00089;PF00092	4	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered	covered_not_delimited	delimited
ZBTB12	Q9Y330	31899065	class III		3 locus furniture	PF00096;PF00651	4	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
CFB	P00751	31945650	class III		2 immune-associated, conserved	PF00084;PF00089;PF00092	5	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered	called_not_covered	delimited
NELFE	P18615	31952087	class III		3 locus furniture	PF00076	1	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
SKIC2	Q15477	31959025	class III		3 locus furniture	PF00270;PF00271;PF08148;PF13234;PF17911;PF21408	6	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited
DXO	O77932	31969810	class III		3 locus furniture	PF08652	1	delimited	called_not_covered	called_not_covered	delimited	delimited	delimited	delimited	delimited	called_not_covered
WHR1	P49842	31971091	class III		3 locus furniture	PF10494	1	covered_not_delimited	called_not_covered	covered_not_delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	covered_not_delimited	called_not_covered
C4A	P0C0L4	31981991	class III		2 immune-associated, conserved	PF00207;PF01759;PF01821;PF01835;PF07677;PF07678;PF07703;PF17789;PF17791;PF21145;PF22661	11	delimited	delimited	delimited	delimited	covered_not_delimited	delimited	called_not_covered	called_not_covered	covered_not_delimited
TNXA	Q16473	32008614	class III		3 locus furniture	PF00041	3	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered
C4B	P0C0L5	32014725	class III		2 immune-associated, conserved	PF00207;PF01759;PF01821;PF01835;PF07677;PF07678;PF07703;PF17789;PF17791;PF21145;PF22661	11	delimited	delimited	delimited	delimited	covered_not_delimited	delimited	called_not_covered	called_not_covered	covered_not_delimited
CYP21A2	P08686	32038297	class III		3 locus furniture	PF00067	1	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
TNXB	P22105	32041153	class III		3 locus furniture	PF00041;PF00147;PF25024	35	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered
ATF6B	Q99941	32115264	class III		3 locus furniture	PF00170	1	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered	delimited	called_not_covered
FKBPL	Q9UIM3	32128697	class III		3 locus furniture	PF00515;PF13432	2	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
PPT2	Q9UMR5	32146580	class II		3 locus furniture	PF02089	1	delimited	called_not_covered	delimited	delimited	delimited	delimited	called_not_covered	delimited	called_not_covered
PRRT1	Q99946	32147292	class II		3 locus furniture	PF04505	1	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
EGFL8	Q99944	32163918	class II		3 locus furniture	PF07546;PF23301	2	delimited	covered_not_delimited	delimited	delimited	delimited	covered_not_delimited	called_not_covered	called_not_covered	called_not_covered
AGPAT1	Q99943	32167118	class II		3 locus furniture	PF01553	1	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited
RNF5	Q99942	32178391	class II		3 locus furniture	PF13920	1	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered	delimited	called_not_covered
AGER	Q15109	32180963	class II		2 immune-associated, conserved	PF08205;PF13927	2	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered
PBX2	P40425	32184733	class II		3 locus furniture	PF03792;PF05920	2	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
GPSM3	Q9Y4H4	32190766	class II		3 locus furniture	PF02188	2	delimited	delimited	covered_not_delimited	called_not_covered	covered_not_delimited	covered_not_delimited	called_not_covered	called_not_covered	not_called
NOTCH4	Q99466	32194843	class II		3 locus furniture	PF00008;PF00066;PF06816;PF07645;PF07684;PF12661;PF12796	29	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
BTNL2	Q9UIR0	32391481	class II		2 immune-associated, conserved	PF07686;PF22705	4	delimited	delimited	delimited	delimited	delimited	covered_not_delimited	called_not_covered	called_not_covered	called_not_covered
HLA-DRA	P01903	32439870	class II	II alpha	1 classical antigen-presenting	PF00993;PF07654	2	delimited	delimited	delimited	called_not_covered	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered
HLA-DRB5	Q30154	32516622	class II	II beta	1 classical antigen-presenting	PF00969;PF07654	2	delimited	delimited	delimited	called_not_covered	covered_not_delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered
HLA-DRB1	P01911	32577902	class II	II beta	1 classical antigen-presenting	PF00969;PF07654	2	delimited	delimited	delimited	called_not_covered	covered_not_delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered
HLA-DQA1	P01909	32628179	class II	II alpha	1 classical antigen-presenting	PF00993;PF07654	2	delimited	delimited	delimited	called_not_covered	covered_not_delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered
HLA-DQB1	P01920	32640622	class II	II beta	1 classical antigen-presenting	PF00969;PF07654	2	delimited	delimited	delimited	called_not_covered	covered_not_delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered
HLA-DQA2	P01906	32741391	class II	II alpha	1 classical antigen-presenting	PF00993;PF07654	2	delimited	delimited	delimited	called_not_covered	covered_not_delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered
HLA-DQB2	P05538	32756094	class II	II beta	1 classical antigen-presenting	PF00969;PF07654	2	delimited	delimited	delimited	called_not_covered	covered_not_delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered
HLA-DOB	P13765	32812763	class II	II beta	1 classical antigen-presenting	PF00969;PF07654	2	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
TAP2	Q03519	32821833	class II	processing (ctrl)	2 immune-associated, conserved	PF00005;PF00664	2	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited
PSMB8	P28062	32840717	class II		2 immune-associated, conserved	PF00227	1	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
PSMB9	P28065	32844136	class II		2 immune-associated, conserved	PF00227	1	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
TAP1	Q03518	32845204	class II	processing (ctrl)	2 immune-associated, conserved	PF00005;PF00664	2	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited
PPP1R2P1	Q96PQ5	32879216	class II		3 locus furniture	PF04979	1	delimited	delimited	delimited	called_not_covered	delimited	delimited	delimited	delimited	not_called
HLA-DMB	P28068	32929338	class II	II beta	1 classical antigen-presenting	PF00969;PF07654	2	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
HLA-DMA	P28067	32948613	class II	II alpha	1 classical antigen-presenting	PF00993;PF07654	2	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
BRD2	P25440	32968564	class II		3 locus furniture	PF00439;PF17035	3	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
HLA-DOA	P06340	33004178	class II	II alpha	1 classical antigen-presenting	PF00993;PF07654	2	delimited	delimited	delimited	called_not_covered	covered_not_delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered
HLA-DPA1	P20036	33064569	class II	II alpha	1 classical antigen-presenting	PF00993;PF07654	2	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
HLA-DPB1	P04440	33073786	extended class II	II beta	1 classical antigen-presenting	PF00969;PF07654	2	delimited	delimited	delimited	called_not_covered	covered_not_delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered
COL11A2	P13942	33162681	extended class II		3 locus furniture	PF01391;PF01410;PF02210	7	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered
RXRB	P28702	33193585	extended class II		3 locus furniture	PF00104;PF00105	2	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered
SLC39A7	Q92504	33200305	extended class II		3 locus furniture	PF02535	1	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
RING1	Q06587	33208033	extended class II		3 locus furniture	PF00097;PF16207	2	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
VPS52	Q8N1B4	33250272	extended class II		3 locus furniture	PF04129;PF20655	2	covered_not_delimited	called_not_covered	covered_not_delimited	covered_not_delimited	covered_not_delimited	covered_not_delimited	delimited	covered_not_delimited	called_not_covered
RPS18	P62269	33271730	extended class II		3 locus furniture	PF00416	1	delimited	called_not_covered	delimited	called_not_covered	delimited	delimited	delimited	delimited	delimited
B3GALT4	O96024	33277123	extended class II		3 locus furniture	PF01762	1	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered	delimited	called_not_covered
WDR46	O15213	33279103	extended class II		3 locus furniture	PF00400;PF08149	2	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
PFDN6	O15212	33288680	extended class II		3 locus furniture	PF01920	1	delimited	called_not_covered	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
RGL2	O15211	33291180	extended class II		3 locus furniture	PF00617;PF00618;PF00788	3	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered	called_not_covered
TAPBP	O15533	33299694	extended class II	processing (ctrl)	2 immune-associated, conserved	PF07654	1	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
ZBTB22	O15209	33314406	extended class II		3 locus furniture	PF00096;PF00651	2	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
DAXX	Q9UER7	33318558	extended class II		3 locus furniture	PF03344;PF20920	2	covered_not_delimited	called_not_covered	covered_not_delimited	covered_not_delimited	covered_not_delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered
SMIM40	Q5STR5	33323628	extended class II		3 locus furniture	PF29122	1	delimited	not_called	not_called	not_called	not_called	not_called	not_called	called_not_covered	not_called
